x,y,z,sound_path,class
7.88E+00,5.95E+00,1.49E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T040000+1000_REC_1370.822_1375.322.wav,unlabelled
7.89E+00,5.97E+00,1.59E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T040000+1000_REC_1688.771_1693.271.wav,unlabelled
7.81E+00,5.64E+00,7.81E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T040000+1000_REC_3867.371_3871.871.wav,unlabelled
8.26E+00,3.78E+00,6.48E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T040000+1000_REC_7159.911_7164.411.wav,unlabelled
8.91E+00,5.96E+00,5.35E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T060000+1000_REC_1588.17_1592.67.wav,unlabelled
8.57E+00,5.76E+00,3.28E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T060000+1000_REC_2110.1_2114.6.wav,unlabelled
8.59E+00,5.60E+00,3.33E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T060000+1000_REC_5215.345_5219.845.wav,unlabelled
8.43E+00,6.73E+00,5.52E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T060000+1000_REC_6910.07_6914.57.wav,unlabelled
7.82E+00,4.09E+00,7.17E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T080000+1000_REC_1646.172_1650.672.wav,unlabelled
8.27E+00,5.53E+00,2.68E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T080000+1000_REC_389.37_393.87.wav,unlabelled
7.25E+00,6.21E+00,1.57E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220511T080000+1000_REC_4112.386_4116.886.wav,unlabelled
